id,codigo,descripcion,provincia_id
780,10,MATARA,60
781,11,NAMORA,60
782,12,SAN JUAN,60
783,01,CAJABAMBA,61
784,02,CACHACHI,61
785,03,CONDEBAMBA,61
786,04,SITACOCHA,61
787,01,CELENDIN,62
788,02,CHUMUCH,62
789,03,CORTEGANA,62
790,04,HUASMIN,62
791,05,JORGE CHAVEZ,62
792,06,JOSE GALVEZ,62
793,07,MIGUEL IGLESIAS,62
794,08,OXAMARCA,62
795,09,SOROCHUCO,62
796,10,SUCRE,62
797,11,UTCO,62
798,12,LA LIBERTAD DE PALLAN,62
799,01,CHOTA,63
800,02,ANGUIA,63
801,03,CHADIN,63
802,04,CHIGUIRIP,63
803,05,CHIMBAN,63
804,06,CHOROPAMPA,63
805,07,COCHABAMBA,63
806,08,CONCHAN,63
807,09,HUAMBOS,63
808,10,LAJAS,63
809,11,LLAMA,63
810,12,MIRACOSTA,63
811,13,PACCHA,63
812,14,PION,63
813,15,QUEROCOTO,63
814,16,SAN JUAN DE LICUPIS,63
815,17,TACABAMBA,63
816,18,TOCMOCHE,63
817,19,CHALAMARCA,63
818,01,CONTUMAZA,64
819,02,CHILETE,64
820,03,CUPISNIQUE,64
821,04,GUZMANGO,64
822,05,SAN BENITO,64
823,06,SANTA CRUZ DE TOLED,64
824,07,TANTARICA,64
825,08,YONAN,64
826,01,CUTERVO,65
827,02,CALLAYUC,65
828,03,CHOROS,65
829,04,CUJILLO,65
830,05,LA RAMADA,65
831,06,PIMPINGOS,65
832,07,QUEROCOTILLO,65
833,08,SAN ANDRES DE CUTERVO,65
834,09,SAN JUAN DE CUTERVO,65
835,10,SAN LUIS DE LUCMA,65
836,11,SANTA CRUZ,65
837,12,SANTO DOMINGO DE LA CAPILLA,65
838,13,SANTO TOMAS,65
839,14,SOCOTA,65
840,15,TORIBIO CASANOVA,65
841,01,BAMBAMARCA,66
842,02,CHUGUR,66
843,03,HUALGAYOC,66
844,01,JAEN,67
845,02,BELLAVISTA,67
846,03,CHONTALI,67
847,04,COLASAY,67
848,05,HUABAL,67
849,06,LAS PIRIAS,67
850,07,POMAHUACA,67
851,08,PUCARA,67
852,09,SALLIQUE,67
853,10,SAN FELIPE,67
854,11,SAN JOSE DEL ALTO,67
855,12,SANTA ROSA,67
856,01,SAN IGNACIO,68
857,02,CHIRINOS,68
858,03,HUARANGO,68
859,04,LA COIPA,68
860,05,NAMBALLE,68
946,03,COMBAPATA,81
861,06,SAN JOSE DE LOURDES,68
862,07,TABACONAS,68
863,01,PEDRO GALVEZ,69
864,02,CHANCAY,69
865,03,EDUARDO VILLANUEVA,69
866,04,GREGORIO PITA,69
867,05,ICHOCAN,69
868,06,JOSE MANUEL QUIROZ,69
869,07,JOSE SABOGAL,69
870,01,SAN MIGUEL,70
871,02,BOLIVAR,70
872,03,CALQUIS,70
873,04,CATILLUC,70
874,05,EL PRADO,70
875,06,LA FLORIDA,70
876,07,LLAPA,70
877,08,NANCHOC,70
878,09,NIEPOS,70
879,10,SAN GREGORIO,70
880,11,SAN SILVESTRE DE COCHAN,70
881,12,TONGOD,70
882,13,UNION AGUA BLANCA,70
883,01,SAN PABLO,71
884,02,SAN BERNARDINO,71
885,03,SAN LUIS,71
886,04,TUMBADEN,71
887,01,SANTA CRUZ,72
888,02,ANDABAMBA,72
889,03,CATACHE,72
890,04,CHANCAYBAÑOS,72
891,05,LA ESPERANZA,72
892,06,NINABAMBA,72
893,07,PULAN,72
894,08,SAUCEPAMPA,72
895,09,SEXI,72
896,10,UTICYACU,72
897,11,YAUYUCAN,72
898,01,CALLAO,74
899,02,BELLAVISTA,74
900,03,CARMEN DE LA LEGUA REYNOSO,74
901,04,LA PERLA,74
902,05,LA PUNTA,74
903,06,VENTANILLA,74
904,01,CUSCO,76
905,02,CCORCA,76
906,03,POROY,76
907,04,SAN JERONIMO,76
908,05,SAN SEBASTIAN,76
909,06,SANTIAGO,76
910,07,SAYLLA,76
911,08,WANCHAQ,76
912,01,ACOMAYO,77
913,02,ACOPIA,77
914,03,ACOS,77
915,04,MOSOC LLACTA,77
916,05,POMACANCHI,77
917,06,RONDOCAN,77
918,07,SANGARARA,77
919,01,ANTA,78
920,02,ANCAHUASI,78
921,03,CACHIMAYO,78
922,04,CHINCHAYPUJIO,78
923,05,HUAROCONDO,78
924,06,LIMATAMBO,78
925,07,MOLLEPATA,78
926,08,PUCYURA,78
927,09,ZURITE,78
928,01,CALCA,79
929,02,COYA,79
930,03,LAMAY,79
931,04,LARES,79
932,05,PISAC,79
933,06,SAN SALVADOR,79
934,07,TARAY,79
935,08,YANATILE,79
936,01,YANAOCA,80
937,02,CHECCA,80
938,03,KUNTURKANKI,80
939,04,LANGUI,80
940,05,LAYO,80
941,06,PAMPAMARCA,80
942,07,QUEHUE,80
943,08,TUPAC AMARU,80
944,01,SICUANI,81
945,02,CHECACUPE,81
947,04,MARANGANI,81
948,05,PITUMARCA,81
949,06,SAN PABLO,81
950,07,SAN PEDRO,81
951,08,TINTA,81
952,01,SANTO TOMAS,82
953,02,CAPACMARCA,82
954,03,CHAMACA,82
955,04,COLQUEMARCA,82
956,05,LIVITACA,82
957,06,LLUSCO,82
958,07,QUIÑOTA,82
959,08,VELILLE,82
960,01,ESPINAR,83
961,02,CONDOROMA,83
962,03,COPORAQUE,83
963,04,OCORURO,83
964,05,PALLPATA,83
965,06,PICHIGUA,83
966,07,SUYCKUTAMBO,83
967,08,ALTO PICHIGUA,83
968,01,SANTA ANA,84
969,02,ECHARATE,84
970,03,HUAYOPATA,84
971,04,MARANURA,84
972,05,OCOBAMBA,84
973,06,QUELLOUNO,84
974,07,KIMBIRI,84
975,08,SANTA TERESA,84
976,09,VILCABAMBA,84
977,10,PICHARI,84
978,01,PARURO,85
979,02,ACCHA,85
980,03,CCAPI,85
981,04,COLCHA,85
982,05,HUANOQUITE,85
983,06,OMACHA,85
984,07,PACCARITAMBO,85
985,08,PILLPINTO,85
986,09,YAURISQUE,85
987,01,PAUCARTAMBO,86
988,02,CAICAY,86
989,03,CHALLABAMBA,86
990,04,COLQUEPATA,86
991,05,HUANCARANI,86
992,06,KOSÑIPATA,86
993,01,URCOS,87
994,02,ANDAHUAYLILLAS,87
995,03,CAMANTI,87
996,04,CCARHUAYO,87
997,05,CCATCA,87
998,06,CUSIPATA,87
999,07,HUARO,87
1000,08,LUCRE,87
1001,09,MARCAPATA,87
1002,10,OCONGATE,87
1003,11,OROPESA,87
1004,12,QUIQUIJANA,87
1005,01,URUBAMBA,88
1006,02,CHINCHERO,88
1007,03,HUAYLLABAMBA,88
1008,04,MACHUPICCHU,88
1009,05,MARAS,88
1010,06,OLLANTAYTAMBO,88
1011,07,YUCAY,88
1012,01,HUANCAVELICA,90
1013,02,ACOBAMBILLA,90
1014,03,ACORIA,90
1015,04,CONAYCA,90
1016,05,CUENCA,90
1017,06,HUACHOCOLPA,90
1018,07,HUAYLLAHUARA,90
1019,08,IZCUCHACA,90
1020,09,LARIA,90
1021,10,MANTA,90
1022,11,MARISCAL CACERES,90
1023,12,MOYA,90
1024,13,NUEVO OCCORO,90
1025,14,PALCA,90
1026,15,PILCHACA,90
1027,16,VILCA,90
1028,17,YAULI,90
1029,18,ASCENSION,90
1030,19,HUANDO,90
1031,01,ACOBAMBA,91
1032,02,ANDABAMBA,91
1033,03,ANTA,91
1034,04,CAJA,91
1035,05,MARCAS,91
1036,06,PAUCARA,91
1037,07,POMACOCHA,91
1038,08,ROSARIO,91
1039,01,LIRCAY,92
1040,02,ANCHONGA,92
1041,03,CALLANMARCA,92
1042,04,CCOCHACCASA,92
1043,05,CHINCHO,92
1044,06,CONGALLA,92
1045,07,HUANCA-HUANCA,92
1046,08,HUAYLLAY GRANDE,92
1047,09,JULCAMARCA,92
1048,10,SAN ANTONIO DE ANTAPARCO,92
1049,11,SANTO TOMAS DE PATA,92
1050,12,SECCLLA,92
1051,01,CASTROVIRREYNA,93
1052,02,ARMA,93
1053,03,AURAHUA,93
1054,04,CAPILLAS,93
1055,05,CHUPAMARCA,93
1056,06,COCAS,93
1057,07,HUACHOS,93
1058,08,HUAMATAMBO,93
1059,09,MOLLEPAMPA,93
1060,10,SAN JUAN,93
1061,11,SANTA ANA,93
1062,12,TANTARA,93
1063,13,TICRAPO,93
1064,01,CHURCAMPA,94
1065,02,ANCO,94
1066,03,CHINCHIHUASI,94
1067,04,EL CARMEN,94
1068,05,LA MERCED,94
1069,06,LOCROJA,94
1070,07,PAUCARBAMBA,94
1071,08,SAN MIGUEL DE MAYOCC,94
1072,09,SAN PEDRO DE CORIS,94
1073,10,PACHAMARCA,94
1074,01,HUAYTARA,95
1075,02,AYAVI,95
1076,03,CORDOVA,95
1077,04,HUAYACUNDO ARMA,95
1078,05,LARAMARCA,95
1079,06,OCOYO,95
1080,07,PILPICHACA,95
1081,08,QUERCO,95
